country,happiness_score,gdp_per_capita_eur,population,currency_code,exchange_rate_eur,cluster
Central African Republic,3.083,459.71342885490884,4829764.0,XAF,0.0015299659576148573,2.0
Burkina Faso,4.587,753.2699050837864,20903278.0,XOF,0.0015299659576148573,2.0
Eritrea,,385.8373740657698,5352000.0,ERN,0.06123766589207143,
Tanzania,3.231,1057.6362356192756,59734213.0,TZS,0.00034872930762910474,2.0
South Korea,5.895,39184.575359808165,51780579.0,KRW,0.0006319150191987031,0.0
Jordan,4.906,4287.274502947132,10203140.0,JOD,1.2955969138881511,1.0
Mauritania,4.49,1633.1844586485893,4649660.0,MRU,0.023288962270856407,2.0
Lithuania,6.149,19400.764160732815,2794700.0,,1.0,1.0
Slovakia,6.198,19312.26341776356,5458827.0,,1.0,1.0
Angola,,2879.4086347132566,32866268.0,AOA,0.0010033504762049857,
Kazakhstan,5.809,9606.351412252245,18754440.0,KZT,0.0018789319904801809,0.0
Moldova,5.529,4566.9432799046535,2617820.0,MDL,0.050772165947199695,0.0
Mali,4.39,864.6627181379296,20250834.0,XOF,0.0015299659576148573,2.0
Armenia,4.559,4614.148649077326,2963234.0,AMD,0.0023348198049231435,2.0
Samoa,,4287.359593770475,198410.0,WST,0.3245753175401475,
Japan,5.886,40384.06095485171,125836021.0,JPY,0.006192796174115295,0.0
Bolivia,5.779,3503.4028327180545,11673029.0,BOB,0.13283220171366825,0.0
Chile,6.444,14768.522343786888,19116209.0,CLP,0.0009781434750180645,0.0
United States,6.892,65034.08966992926,329484123.0,USD,0.9185646508765404,1.0
Saint Vincent and the Grenadines,,7439.454739650464,110947.0,XCD,0.33940656120399726,
Seychelles,,17253.79398143446,98462.0,SCR,0.06335813043842432,
Guatemala,6.436,4550.294852996438,16858333.0,GTQ,0.11914548855607582,0.0
Ecuador,6.028,6089.40087490492,17643060.0,USD,0.9185646508765404,1.0
Tajikistan,5.467,851.0097982289543,9537642.0,TJS,0.08421858293138612,0.0
Malta,6.726,28148.82694727624,525285.0,,1.0,1.0
Gambia,4.516,729.8569631525111,2416664.0,GMD,0.012722445761955482,2.0
Nigeria,5.265,2173.8688593520856,206139587.0,NGN,0.0006007844532724046,0.0
Bahamas,,32618.093416876884,393248.0,BSD,0.9179541738917308,
Kosovo,6.1,,1775378.0,,1.0,
Kuwait,6.021,31555.8391120796,4270563.0,KWD,2.9815679469519427,1.0
Maldives,,10599.08105568115,540542.0,MVR,0.05948699840265512,
South Sudan,2.853,1071.8323403219786,11193729.0,,,
Iran,4.548,5302.174363639769,83992953.0,IRR,2.185632224816047e-05,2.0
Albania,4.719,5383.883405579716,2837743.0,ALL,0.010013963270104568,2.0
Brazil,6.3,8655.26512997597,212559409.0,BRL,0.15830231531383354,0.0
Serbia,5.603,7441.734279461697,6908224.0,RSD,0.008565156869905905,0.0
Belize,,4727.148716994324,397621.0,BZD,0.4569690522279069,
Myanmar,4.36,1398.3852358823488,54409794.0,MMK,0.00043768793937139656,2.0
Bhutan,5.082,3170.86061517965,771612.0,BTN,0.01052419754546035,0.0
Venezuela,4.707,16963.014687714065,28435943.0,VES,0.014114148941730287,2.0
Liberia,3.975,607.1004732014322,5057677.0,LRD,0.004598062250580699,2.0
Jamaica,5.89,5557.979139938693,2961161.0,JMD,0.005855159171038275,0.0
Poland,6.182,15603.475275384168,37950802.0,PLN,0.23894856894896802,0.0
Brunei,,30788.448787724323,437483.0,BND,0.688023844154343,
Comoros,3.973,1363.5412772612538,869595.0,KMF,0.002039954608072436,2.0
Tonga,,4260.795613877404,105697.0,TOP,0.38124575864093513,
Kiribati,,1629.5832593808082,119446.0,AUD,0.5799774388776276,
Ghana,4.996,2155.6899168714135,31072945.0,GHS,0.0592867788645242,2.0
Chad,4.35,688.8499008179724,16425859.0,XAF,0.0015299659576148573,2.0
Zimbabwe,3.663,1442.5663800945804,14862927.0,ZWL,0.002852689946695292,2.0
Mongolia,5.285,4225.630376732762,3278292.0,MNT,0.0002646367032987271,0.0
Portugal,5.693,23063.859060503626,10305564.0,,1.0,1.0
Republic of the Congo,,1912.7790579812622,5657000.0,XAF,0.0015299659576148573,
Belgium,6.923,45829.59916119743,11555997.0,,1.0,1.0
Israel,7.139,42866.76280766852,9216900.0,ILS,0.2523721085412059,1.0
New Zealand,7.307,40699.558551619695,5084300.0,NZD,0.5259885692164138,1.0
Nicaragua,6.105,1890.0767192780072,6624554.0,NIO,0.024976074793553387,0.0
